date_date,orders_id,products_id,turnover,qty,purchase_price,purchase_cost,product_margin,product_margin_percent
20/07/2021,938959,96003,3.43,1,2,2,1.43,0.42
11/09/2021,985122,96003,2.98,1,2,2,0.98,0.33
15/06/2021,907420,96003,2.81,1,2,2,0.81,0.29
23/06/2021,914794,96003,3.43,1,2,2,1.43,0.42
18/06/2021,909947,96003,2.97,1,2,2,0.97,0.33
22/08/2021,967274,96003,2.92,1,2,2,0.92,0.32
26/09/2021,997440,96003,2.92,1,2,2,0.92,0.32
17/06/2021,909182,96003,3.18,1,2,2,1.18,0.37
09/09/2021,983393,96003,2.98,1,2,2,0.98,0.33
30/06/2021,921714,96003,3.09,1,2,2,1.09,0.35
16/08/2021,961657,96003,3.43,1,2,2,1.43,0.42
25/07/2021,942961,77576,3.56,2,1,2,1.56,0.44
20/06/2021,911977,77576,3.56,2,1,2,1.56,0.44
23/08/2021,967613,77576,3.21,2,1,2,1.21,0.38
31/08/2021,975305,77576,3.21,2,1,2,1.21,0.38
01/09/2021,976491,77576,3.56,2,1,2,1.56,0.44
20/06/2021,911977,77577,3.56,2,1,2,1.56,0.44
23/08/2021,967613,77577,3.21,2,1,2,1.21,0.38
17/06/2021,909907,77577,3.05,2,1,2,1.05,0.34
31/08/2021,975305,77577,3.21,2,1,2,1.21,0.38
20/07/2021,939321,77577,2.35,2,1,2,0.35,0.15
02/08/2021,950490,126989,2.26,1,2,2,0.26,0.12
27/06/2021,917359,126989,2.26,1,2,2,0.26,0.12
30/06/2021,920855,126989,2.26,1,2,2,0.26,0.12
08/06/2021,901622,126989,2.55,1,2,2,0.55,0.22
04/09/2021,978796,126989,2.83,1,2,2,0.83,0.29
09/08/2021,956725,126989,2.26,1,2,2,0.26,0.12
07/08/2021,955056,126989,2.26,1,2,2,0.26,0.12
30/08/2021,973568,126989,2.83,1,2,2,0.83,0.29
24/08/2021,969380,126989,2.83,1,2,2,0.83,0.29
04/07/2021,924759,126989,2.26,1,2,2,0.26,0.12
12/08/2021,958705,126989,2.26,1,2,2,0.26,0.12
17/08/2021,963013,126989,2.83,1,2,2,0.83,0.29
20/07/2021,939711,77326,2.85,1,2,2,0.85,0.3
13/08/2021,959715,77326,2.85,1,2,2,0.85,0.3
04/06/2021,896785,77326,2.85,1,2,2,0.85,0.3
04/06/2021,896882,77326,2.85,1,2,2,0.85,0.3
28/07/2021,946655,77326,2.85,1,2,2,0.85,0.3
06/06/2021,899321,77326,2.85,1,2,2,0.85,0.3
10/06/2021,903367,77326,2.85,1,2,2,0.85,0.3
11/06/2021,903920,77326,2.85,1,2,2,0.85,0.3
09/08/2021,956867,77326,2.85,1,2,2,0.85,0.3
04/08/2021,952473,77326,2.85,1,2,2,0.85,0.3
24/08/2021,969350,77326,2.59,1,2,2,0.59,0.23
11/07/2021,931589,77326,2.85,1,2,2,0.85,0.3
05/08/2021,953592,77326,2.85,1,2,2,0.85,0.3
05/09/2021,979297,77326,2.85,1,2,2,0.85,0.3
13/08/2021,959790,77326,2.85,1,2,2,0.85,0.3
08/06/2021,901481,77326,2.85,1,2,2,0.85,0.3
06/08/2021,954189,77326,2.85,1,2,2,0.85,0.3
20/08/2021,964961,77326,2.85,1,2,2,0.85,0.3
06/07/2021,927175,77326,2.85,1,2,2,0.85,0.3
13/06/2021,905867,77326,2.85,1,2,2,0.85,0.3
18/06/2021,910104,77326,2.44,1,2,2,0.44,0.18
24/07/2021,942587,77326,2.85,1,2,2,0.85,0.3
28/08/2021,971717,77326,2.85,1,2,2,0.85,0.3
24/06/2021,915263,77326,2.85,1,2,2,0.85,0.3
05/08/2021,953176,77326,2.85,1,2,2,0.85,0.3
06/09/2021,980252,77326,2.85,1,2,2,0.85,0.3
09/09/2021,983625,77326,2.64,1,2,2,0.64,0.24
01/09/2021,976108,77326,2.85,1,2,2,0.85,0.3
06/07/2021,927195,77326,2.85,1,2,2,0.85,0.3
17/07/2021,936987,77326,2.85,1,2,2,0.85,0.3
26/09/2021,998663,77326,2.85,1,2,2,0.85,0.3
12/06/2021,904978,77326,2.63,1,2,2,0.63,0.24
01/07/2021,922431,77326,2.66,1,2,2,0.66,0.25
26/07/2021,944504,77326,2.85,1,2,2,0.85,0.3
12/09/2021,985947,77326,2.85,1,2,2,0.85,0.3
02/06/2021,894735,77326,2.85,1,2,2,0.85,0.3
05/07/2021,926445,77326,2.85,1,2,2,0.85,0.3
17/08/2021,962443,77326,2.85,1,2,2,0.85,0.3
09/07/2021,930305,77326,2.85,1,2,2,0.85,0.3
19/07/2021,938728,77326,2.85,1,2,2,0.85,0.3
02/08/2021,951002,77326,2.85,1,2,2,0.85,0.3
24/08/2021,969259,77326,2.37,1,2,2,0.37,0.16
09/07/2021,930641,77326,2.85,1,2,2,0.85,0.3
19/07/2021,938311,77326,2.85,1,2,2,0.85,0.3
06/08/2021,954166,77326,2.85,1,2,2,0.85,0.3
04/09/2021,978902,77326,2.85,1,2,2,0.85,0.3
28/07/2021,947027,77326,2.85,1,2,2,0.85,0.3
22/08/2021,966219,77326,2.85,1,2,2,0.85,0.3
15/07/2021,935690,77326,2.85,1,2,2,0.85,0.3
05/06/2021,898116,77326,2.85,1,2,2,0.85,0.3
29/06/2021,919854,77326,2.85,1,2,2,0.85,0.3
25/07/2021,943565,77326,2.85,1,2,2,0.85,0.3
05/08/2021,953410,77326,2.85,1,2,2,0.85,0.3
12/08/2021,959153,77326,2.85,1,2,2,0.85,0.3
13/07/2021,933615,77326,2.85,1,2,2,0.85,0.3
19/07/2021,938163,77326,2.85,1,2,2,0.85,0.3
28/07/2021,947064,77326,2.85,1,2,2,0.85,0.3
14/09/2021,988487,77326,2.85,1,2,2,0.85,0.3
05/06/2021,897761,77326,2.85,1,2,2,0.85,0.3
01/09/2021,975751,77326,2.85,1,2,2,0.85,0.3
25/09/2021,997052,77326,2.56,1,2,2,0.56,0.22
22/06/2021,913668,77326,2.45,1,2,2,0.45,0.18
07/07/2021,929143,77326,2.85,1,2,2,0.85,0.3
26/09/2021,997764,77326,2.85,1,2,2,0.85,0.3
07/07/2021,928339,77326,2.85,1,2,2,0.85,0.3
27/07/2021,945470,77326,2.85,1,2,2,0.85,0.3
24/07/2021,942567,77326,2.85,1,2,2,0.85,0.3
15/08/2021,960612,77326,2.85,1,2,2,0.85,0.3
12/08/2021,958724,77326,2.85,1,2,2,0.85,0.3
16/08/2021,961232,77326,2.85,1,2,2,0.85,0.3
01/06/2021,893913,77326,2.85,1,2,2,0.85,0.3
08/09/2021,982946,77326,2.85,1,2,2,0.85,0.3
09/09/2021,983778,77326,2.85,1,2,2,0.85,0.3
12/08/2021,959098,77326,2.85,1,2,2,0.85,0.3
15/07/2021,935299,77326,2.85,1,2,2,0.85,0.3
20/09/2021,993692,77326,2.85,1,2,2,0.85,0.3
13/07/2021,933960,77326,2.85,1,2,2,0.85,0.3
03/07/2021,923694,77326,2.85,1,2,2,0.85,0.3
19/07/2021,938421,77326,2.85,1,2,2,0.85,0.3
30/08/2021,973650,77326,2.85,1,2,2,0.85,0.3
19/08/2021,964366,77326,2.85,1,2,2,0.85,0.3
03/07/2021,924158,77326,2.85,1,2,2,0.85,0.3
14/08/2021,960282,77326,2.85,1,2,2,0.85,0.3
06/09/2021,980443,77326,2.73,1,2,2,0.73,0.27
07/07/2021,928456,77326,2.85,1,2,2,0.85,0.3
24/08/2021,968613,77326,2.85,1,2,2,0.85,0.3
27/08/2021,971267,77326,2.85,1,2,2,0.85,0.3
24/08/2021,968579,77326,2.85,1,2,2,0.85,0.3
01/09/2021,976212,77326,2.85,1,2,2,0.85,0.3
30/08/2021,973935,77326,2.85,1,2,2,0.85,0.3
12/07/2021,933117,109582,2.3,1,2,2,0.3,0.13
11/07/2021,931686,109582,2.07,1,2,2,0.07,0.03
27/07/2021,945824,109582,1.96,1,2,2,-0.04,-0.02
19/07/2021,937872,109582,2.3,1,2,2,0.3,0.13
13/07/2021,933409,109582,2.3,1,2,2,0.3,0.13
17/07/2021,936512,109582,2.3,1,2,2,0.3,0.13
27/07/2021,945560,109582,1.96,1,2,2,-0.04,-0.02
23/06/2021,914419,109582,3.01,1,2,2,1.01,0.34
21/07/2021,940642,109582,2.3,1,2,2,0.3,0.13
07/07/2021,929250,109582,2.3,1,2,2,0.3,0.13
15/07/2021,935173,109582,2.3,1,2,2,0.3,0.13
15/07/2021,935423,109582,2.3,1,2,2,0.3,0.13
08/08/2021,955954,109582,3.56,1,2,2,1.56,0.44
25/06/2021,915932,109582,3.01,1,2,2,1.01,0.34
30/06/2021,921076,109582,2.48,1,2,2,0.48,0.19
08/07/2021,929559,109582,1.96,1,2,2,-0.04,-0.02
16/08/2021,962153,109582,2.12,1,2,2,0.12,0.06
06/06/2021,898430,109582,3.19,1,2,2,1.19,0.37
15/08/2021,960788,109582,2.49,1,2,2,0.49,0.2
20/06/2021,911922,109582,3.01,1,2,2,1.01,0.34
27/07/2021,944825,109582,1.96,1,2,2,-0.04,-0.02
10/07/2021,931410,109582,2.3,1,2,2,0.3,0.13
13/07/2021,933573,109582,2.3,1,2,2,0.3,0.13
15/07/2021,935326,109582,2.3,1,2,2,0.3,0.13
09/07/2021,930655,109582,2.3,1,2,2,0.3,0.13
03/07/2021,923761,109582,2.48,1,2,2,0.48,0.19
20/07/2021,939135,109582,2.3,1,2,2,0.3,0.13
05/07/2021,926538,109582,2.48,1,2,2,0.48,0.19
11/06/2021,904302,109582,3.54,1,2,2,1.54,0.44
15/07/2021,935595,109582,2.3,1,2,2,0.3,0.13
23/07/2021,942148,109582,2.3,1,2,2,0.3,0.13
24/07/2021,942616,109582,2.3,1,2,2,0.3,0.13
26/06/2021,916452,109582,2.4,1,2,2,0.4,0.17
10/08/2021,957413,109582,3.56,1,2,2,1.56,0.44
19/08/2021,964336,109582,2.49,1,2,2,0.49,0.2
04/06/2021,897346,109582,3.19,1,2,2,1.19,0.37
19/06/2021,911038,109582,2.76,1,2,2,0.76,0.28
20/07/2021,938818,109582,2.3,1,2,2,0.3,0.13
05/07/2021,926019,109582,2.48,1,2,2,0.48,0.19
28/07/2021,946785,109582,3.56,1,2,2,1.56,0.44
07/08/2021,954843,109582,3.56,1,2,2,1.56,0.44
08/06/2021,901055,109582,3.54,1,2,2,1.54,0.44
07/07/2021,928385,109582,2.07,1,2,2,0.07,0.03
24/08/2021,968957,109582,3.56,1,2,2,1.56,0.44
18/06/2021,910552,109582,2.59,1,2,2,0.59,0.23
04/07/2021,924645,109582,2.48,1,2,2,0.48,0.19
09/07/2021,930109,109582,2.3,1,2,2,0.3,0.13
21/07/2021,940110,109582,2.07,1,2,2,0.07,0.03
20/07/2021,939294,109582,2.3,1,2,2,0.3,0.13
27/07/2021,945810,109582,1.96,1,2,2,-0.04,-0.02
30/06/2021,920892,109582,2.48,1,2,2,0.48,0.19
06/08/2021,954480,109582,3.56,1,2,2,1.56,0.44
16/06/2021,908984,109582,3.01,1,2,2,1.01,0.34
06/07/2021,927013,109582,2.3,1,2,2,0.3,0.13
28/07/2021,946656,109582,3.03,1,2,2,1.03,0.34
30/06/2021,921710,109582,2.23,1,2,2,0.23,0.1
27/07/2021,944869,109582,1.96,1,2,2,-0.04,-0.02
27/07/2021,945974,109582,1.96,1,2,2,-0.04,-0.02
07/06/2021,899843,5652,3.19,1,2,2,1.19,0.37
14/09/2021,988782,5652,2.87,1,2,2,0.87,0.3
25/09/2021,997051,5652,2.87,1,2,2,0.87,0.3
16/06/2021,908979,5652,3.19,1,2,2,1.19,0.37
09/09/2021,983858,5652,2.87,1,2,2,0.87,0.3
30/06/2021,921315,5652,3.19,1,2,2,1.19,0.37
03/06/2021,895597,5652,3.13,1,2,2,1.13,0.36
05/07/2021,926821,5652,3.19,1,2,2,1.19,0.37
12/09/2021,986695,5652,2.87,1,2,2,0.87,0.3
04/06/2021,897153,5652,3.19,1,2,2,1.19,0.37
03/06/2021,895669,5652,2.87,1,2,2,0.87,0.3
03/06/2021,895456,5652,3.19,1,2,2,1.19,0.37
11/06/2021,904332,5652,3.19,1,2,2,1.19,0.37
17/08/2021,962653,5652,2.71,1,2,2,0.71,0.26
26/09/2021,998635,5652,2.59,1,2,2,0.59,0.23
09/06/2021,901889,5652,3.01,1,2,2,1.01,0.34
22/08/2021,966654,5652,2.71,1,2,2,0.71,0.26
08/06/2021,901828,5652,2.87,1,2,2,0.87,0.3
07/09/2021,981721,5652,2.76,1,2,2,0.76,0.28
10/06/2021,903034,5652,3.19,1,2,2,1.19,0.37
28/06/2021,918504,5652,3.19,1,2,2,1.19,0.37
12/09/2021,985820,5652,2.87,1,2,2,0.87,0.3
13/06/2021,905599,5652,3.19,1,2,2,1.19,0.37
26/09/2021,998455,5652,2.69,1,2,2,0.69,0.26
13/07/2021,933848,5652,3.19,1,2,2,1.19,0.37
21/08/2021,965915,5652,3.19,1,2,2,1.19,0.37
07/09/2021,981350,5652,2.82,1,2,2,0.82,0.29
10/09/2021,984529,5652,2.87,1,2,2,0.87,0.3
18/09/2021,991465,5652,2.87,1,2,2,0.87,0.3
16/06/2021,908909,5652,2.89,1,2,2,0.89,0.31
29/06/2021,920040,5652,3.19,1,2,2,1.19,0.37
14/07/2021,934294,5652,2.71,1,2,2,0.71,0.26
02/08/2021,950234,5652,3.19,1,2,2,1.19,0.37
10/06/2021,902998,92441,3.43,2,1,2,1.43,0.42
06/08/2021,954130,92441,3.43,2,1,2,1.43,0.42
30/06/2021,921844,92441,2.32,2,1,2,0.32,0.14
14/08/2021,960400,92441,2.92,2,1,2,0.92,0.32
23/09/2021,995912,92441,3.43,2,1,2,1.43,0.42
12/09/2021,986059,92441,2.98,2,1,2,0.98,0.33
20/08/2021,965332,92441,3.43,2,1,2,1.43,0.42
01/07/2021,922306,92441,2.57,2,1,2,0.57,0.22
23/09/2021,995527,92441,3.43,2,1,2,1.43,0.42
22/07/2021,941455,92441,2.26,2,1,2,0.26,0.12
14/06/2021,907095,92441,3.43,2,1,2,1.43,0.42
14/09/2021,988397,92441,2.98,2,1,2,0.98,0.33
18/08/2021,963494,47389,3.25,1,2,2,1.25,0.38
09/09/2021,983589,47389,3.09,1,2,2,1.09,0.35
07/06/2021,899817,47389,2.93,1,2,2,0.93,0.32
26/09/2021,997986,47389,2.97,1,2,2,0.97,0.33
22/08/2021,966525,47389,2.76,1,2,2,0.76,0.28
08/09/2021,982910,47389,3.09,1,2,2,1.09,0.35
03/06/2021,895817,47389,3.25,1,2,2,1.25,0.38
08/09/2021,982902,47389,3.09,1,2,2,1.09,0.35
14/06/2021,907280,47389,3.25,1,2,2,1.25,0.38
14/07/2021,934350,47389,3.25,1,2,2,1.25,0.38
26/07/2021,944781,47389,3.25,1,2,2,1.25,0.38
25/07/2021,942928,47389,3.25,1,2,2,1.25,0.38
30/06/2021,921055,47389,3.25,1,2,2,1.25,0.38
14/06/2021,906610,47389,3.25,1,2,2,1.25,0.38
28/06/2021,918961,47389,3.25,1,2,2,1.25,0.38
14/07/2021,934520,47389,3.25,1,2,2,1.25,0.38
21/09/2021,994036,47389,2.76,1,2,2,0.76,0.28
12/06/2021,904912,47389,3.25,1,2,2,1.25,0.38
01/06/2021,894093,47389,2.93,1,2,2,0.93,0.32
01/08/2021,949413,47389,3.25,1,2,2,1.25,0.38
29/08/2021,972600,47389,3.25,1,2,2,1.25,0.38
08/09/2021,982274,47389,3.09,1,2,2,1.09,0.35
05/07/2021,925789,47389,3.25,1,2,2,1.25,0.38
19/07/2021,937993,47389,3.25,1,2,2,1.25,0.38
28/06/2021,918295,47389,3.25,1,2,2,1.25,0.38
25/07/2021,943759,47389,3.25,1,2,2,1.25,0.38